transaction_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,,,
22,595,6/29/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361,,,
23,2001,4/8/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145,,,
24,515,10/18/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404,,,
25,2822,6/11/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079,,,
26,2596,1/10/2017,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145,,,
27,2666,4/11/2017,1,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047,,,
28,76,12/23/2017,0,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560,,,
29,3368,10/13/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710,,,
30,1173,3/15/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922,,,
31,2810,9/5/2017,1,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539,,,
32,3214,2/18/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688,,,
33,1272,3/20/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404,,,
34,2003,2/28/2017,1,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991,,,
35,2171,8/20/2017,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,,,
36,3356,7/7/2017,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874,,,
37,1040,1/9/2017,0,Approved,Solex,Standard,high,large,1842.92,1105.75,34996,,,
38,2916,12/6/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,33549,,,
39,427,9/12/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693,,,
40,2448,11/28/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,,,
41,2570,5/8/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668,,,
42,3398,5/14/2017,0,Approved,Solex,Touring,medium,large,2083.94,675.03,41533,,,
43,488,3/17/2017,0,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922,,,
44,165,12/22/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,37668,,,
45,2787,6/7/2017,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172,,,
46,3053,6/20/2017,0,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560,,,
47,475,5/7/2017,1,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527,,,
9,1305,6/10/2017,1,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009,,,
48,1251,6/17/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206,,,
49,3103,5/10/2017,0,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337,,,
50,3108,3/24/2017,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553,,,
51,857,11/27/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427,,,
52,3455,12/21/2017,1,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549,,,
53,2549,2/9/2017,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527,,,
54,3140,9/18/2017,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482,,,
55,3406,11/14/2017,0,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470,,,
56,2294,8/30/2017,1,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434,,,
57,1031,11/14/2017,0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367,,,
58,993,2/15/2017,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750,,,
59,3473,12/18/2017,0,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848,,,
60,1839,2/24/2017,0,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244,,,
61,1824,12/18/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888,,,
62,368,12/17/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688,,,
63,2000,7/8/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031,,,
64,825,5/16/2017,1,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696,,,
65,3315,2/23/2017,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367,,,
66,75,7/3/2017,1,Approved,Solex,Standard,medium,medium,71.49,53.62,41245,,,
67,1498,9/30/2017,1,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258,,,
68,1612,10/21/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167,,,
69,2192,5/6/2017,1,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334,,,
70,419,1/3/2017,0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915,,,
71,3307,5/9/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672,,,
72,2430,7/23/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165,,,
73,1506,1/21/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707,,,
74,1346,6/20/2017,0,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295,,,
75,927,3/10/2017,0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552,,,
76,763,6/2/2017,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668,,,
77,2397,11/7/2017,0,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145,,,
78,102,9/12/2017,1,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667,,,
79,2884,12/16/2017,0,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693,,,
80,759,10/7/2017,1,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879,,,
81,773,4/27/2017,1,Approved,Solex,Standard,medium,large,1071.23,380.74,40670,,,
42,3398,4/1/2017,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626,,,
82,3297,11/2/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888,,,
83,2434,2/13/2017,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339,,,
84,1861,7/19/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258,,,
85,1233,5/23/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455,,,
86,1390,8/6/2017,0,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079,,,
87,2682,4/4/2017,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303,,,
88,439,8/15/2017,1,Approved,Solex,Standard,medium,medium,478.16,298.72,34143,,,
89,1579,4/15/2017,1,Approved,Solex,Standard,high,medium,1024.66,614.8,35160,,,
90,2984,7/25/2017,1,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668,,,
91,3470,11/28/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498,,,
92,1,12/23/2017,0,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482,,,
93,757,2/26/2017,0,Approved,Solex,Standard,medium,medium,441.49,84.99,34071,,,
94,1778,2/21/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649,,,
95,211,5/31/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38339,,,
96,333,6/23/2017,1,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823,,,
97,32,3/26/2017,0,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874,,,
98,119,7/31/2017,0,Approved,Solex,Standard,medium,medium,478.16,298.72,36146,,,
99,2347,7/27/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226,,,
100,2353,4/14/2017,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649,,,
101,788,11/12/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888,,,
102,1468,9/12/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193,,,
103,821,10/26/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,41434,,,
104,2489,2/15/2017,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105,,,
105,2710,12/22/2017,0,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873,,,
106,947,10/11/2017,1,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115,,,
107,1335,3/27/2017,1,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991,,,
108,1076,11/4/2017,0,Approved,Solex,Standard,low,medium,945.04,507.58,35052,,,
109,3320,6/11/2017,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172,,,
110,779,10/9/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879,,,
111,3296,6/7/2017,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364,,,
112,455,10/24/2017,1,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873,,,
113,1779,5/1/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482,,,
114,2703,11/21/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,40553,,,
115,806,3/24/2017,0,Approved,OHM Cycles,Road,medium,small,1810,1610.9,34071,,,
116,22,3/21/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303,,,
117,1591,2/20/2017,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647,,,
118,678,6/16/2017,0,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105,,,
119,50,12/4/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,33888,,,
120,1038,12/1/2017,1,Approved,Solex,Road,medium,large,1777.8,820.78,34115,,,
121,1453,3/5/2017,1,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,42218,,,
122,1339,3/21/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,35470,,,
123,3382,1/3/2017,1,Approved,Solex,Standard,medium,medium,575.27,431.45,41345,,,
81,773,4/1/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,37823,,,
124,2503,3/16/2017,1,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38482,,,
125,1057,2/26/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404,,,
126,1397,6/5/2017,0,Approved,WeareA2B,Standard,medium,small,175.89,131.92,42295,,,
127,2134,9/4/2017,0,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672,,,
128,2403,1/18/2017,1,Approved,WeareA2B,Road,low,small,1172.78,1043.77,37539,,,
129,1937,9/28/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216,,,
130,1282,9/2/2017,1,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,37539,,,
131,2183,5/9/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,33429,,,
132,1788,10/17/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,38859,,,
133,1170,4/25/2017,1,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42105,,,
134,431,9/23/2017,0,Approved,WeareA2B,Standard,medium,medium,1942.61,556.0469512,38199.77655,,,
135,1940,8/2/2017,0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,36833,,,
136,2073,3/25/2017,0,Cancelled,Giant Bicycles,Standard,high,medium,1179,707.4,36833,,,
137,462,1/1/2017,0,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,42560,,,
138,2728,12/22/2017,0,Approved,Solex,Standard,medium,medium,1945.43,333.18,37499,,,
139,2053,12/25/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,41064,,,
140,2135,1/26/2017,1,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41047,,,
141,1217,12/20/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259,,,
142,2992,6/7/2017,1,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,38693,,,
143,3261,4/6/2017,1,Approved,Solex,Road,medium,medium,416.98,312.74,35560,,,
144,2748,4/25/2017,1,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,,,
10,3262,1/13/2017,0,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,37838,,,
101,788,3/21/2017,0,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079,,,
145,3067,11/21/2017,1,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,34586,,,
146,701,11/11/2017,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,37698,,,
147,648,10/16/2017,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,36833,,,
148,3286,8/19/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361,,,
149,3383,4/6/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,40784,,,
150,982,11/4/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,42404,,,
151,676,8/22/2017,1,Approved,Solex,Standard,high,large,1842.92,1105.75,37873,,,
152,385,9/15/2017,1,Approved,Solex,Standard,high,medium,748.17,448.9,42105,,,
153,1229,3/1/2017,1,Approved,WeareA2B,Standard,medium,small,175.89,131.92,39915,,,
154,3232,8/16/2017,0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345,,,
155,3300,8/27/2017,0,Approved,WeareA2B,Road,medium,medium,1656.86,556.0469512,38199.77655,,,
156,2381,7/10/2017,0,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,42105,,,
157,371,12/11/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193,,,
158,2519,5/20/2017,1,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,42226,,,
159,2264,7/30/2017,0,Approved,Solex,Standard,high,medium,1024.66,614.8,35378,,,
160,2637,10/25/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,38573,,,
10,3262,11/27/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193,,,
161,3177,4/26/2017,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482,,,
162,2267,2/2/2017,0,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667,,,
163,456,5/2/2017,0,Approved,Solex,Standard,medium,large,202.62,151.96,38002,,,
164,404,10/16/2017,0,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,37838,,,
165,3121,10/22/2017,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364,,,
166,2365,4/11/2017,1,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,33259,,,
167,2528,11/16/2017,0,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,33364,,,
168,3151,12/17/2017,0,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,34586,,,
169,3241,12/23/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42696,,,
107,1335,3/30/2017,1,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,37873,,,
170,2234,4/13/2017,0,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482,,,
171,3226,7/25/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707,,,
172,1365,1/31/2017,0,Approved,Solex,Standard,medium,medium,478.16,298.72,34143,,,
173,3349,3/18/2017,1,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303,,,
174,1002,2/24/2017,0,Approved,Solex,Standard,high,medium,1024.66,614.8,40670,,,
175,2282,2/18/2017,0,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,41345,,,
176,2656,1/7/2017,0,Approved,Solex,Standard,low,medium,1289.85,74.51,41064,,,
177,2409,7/5/2017,1,Approved,Solex,Standard,high,large,1842.92,1105.75,34996,,,
178,1711,11/19/2017,0,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38193,,,
179,2582,11/8/2017,1,Approved,Solex,Standard,high,medium,1024.66,614.8,35378,,,
180,1005,7/24/2017,1,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873,,,
181,1597,1/15/2017,1,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167,,,
182,2713,1/12/2017,1,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,34143,,,
183,1435,11/27/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,40672,,,
184,1477,6/30/2017,1,Approved,Norco Bicycles,Road,high,large,774.53,464.72,39526,,,
185,1614,7/15/2017,1,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,39031,,,
186,1254,6/22/2017,1,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,39880,,,
187,1423,5/2/2017,0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,40553,,,
188,276,12/27/2017,0,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429,,,
189,1315,12/21/2017,1,Approved,OHM Cycles,Road,high,large,12.01,7.21,36334,,,
190,591,5/23/2017,1,Approved,Solex,Standard,medium,medium,441.49,84.99,34071,,,
191,1017,2/2/2017,0,Approved,WeareA2B,Standard,medium,medium,1762.96,950.52,41848,,,
192,2123,6/8/2017,0,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888,,,
193,2889,4/15/2017,1,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143,,,
194,3208,9/5/2017,1,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064,,,
195,2406,2/26/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,39031,,,
196,2041,7/29/2017,0,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,,,
197,1598,7/3/2017,1,Approved,Norco Bicycles,Standard,medium,small,586.45,521.94,33429,,,
18,1842,5/27/2017,1,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295,,,
198,141,5/5/2017,0,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38573,,,
199,1321,9/9/2017,0,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434,,,
200,183,5/21/2017,0,Approved,OHM Cycles,Standard,high,medium,2005.66,1203.4,41009,,,
201,2591,9/22/2017,0,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37626,,,
36,3356,4/12/2017,1,Approved,Solex,Standard,medium,medium,1483.2,99.59,33879,,,
202,766,5/7/2017,1,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750,,,
203,1596,1/13/2017,0,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,38647,,,
204,520,12/14/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226,,,
205,868,3/22/2017,1,Approved,Solex,Standard,low,medium,1289.85,74.51,41009,,,
206,2999,9/30/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226,,,
207,352,11/29/2017,1,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710,,,
208,1140,6/9/2017,0,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,38193,,,
209,621,4/21/2017,0,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,37823,,,
71,3307,11/13/2017,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487,,,
210,1502,4/9/2017,1,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,41345,,,
211,936,5/8/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688,,,
212,939,7/8/2017,1,Approved,Solex,Road,medium,small,1703.52,1516.13,40649,,,
213,2698,11/30/2017,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487,,,
214,579,4/25/2017,1,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879,,,
215,2036,3/30/2017,1,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915,,,
216,3077,3/10/2017,0,Approved,Solex,Road,medium,small,1703.52,1516.13,34079,,,
217,369,3/16/2017,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482,,,
103,821,4/4/2017,1,Approved,Solex,Standard,medium,medium,1163.89,589.27,41345,,,
218,2687,3/13/2017,1,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784,,,
219,681,12/23/2017,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,41434,,,
220,37,8/12/2017,1,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361,,,
20,3002,8/4/2017,0,Approved,Solex,Standard,high,medium,748.17,448.9,36361,,,
221,396,9/1/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,33259,,,
222,550,9/1/2017,1,Approved,Solex,Standard,high,large,1842.92,1105.75,34996,,,
223,1605,7/2/2017,0,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553,,,
224,2325,8/31/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,37698,,,
225,1420,3/11/2017,1,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,34244,,,
226,3099,10/8/2017,0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,34586,,,
227,1645,10/1/2017,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42145,,,
228,546,11/23/2017,0,Approved,Solex,Standard,medium,large,1071.23,380.74,33552,,,
229,2885,3/27/2017,1,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626,,,
230,2740,12/4/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,36146,,,
231,3166,11/13/2017,1,Approved,Solex,Standard,medium,medium,1483.2,99.59,36146,,,
232,3487,12/20/2017,1,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115,,,
233,2890,9/22/2017,1,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,40336,,,
234,3370,1/22/2017,0,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,42172,,,
235,3393,1/29/2017,1,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,39880,,,
236,2410,7/21/2017,0,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,34143,,,
237,3466,2/10/2017,1,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172,,,
238,1454,11/25/2017,0,Cancelled,WeareA2B,Standard,medium,medium,1762.96,950.52,35470,,,
239,1967,4/11/2017,0,Approved,Solex,Standard,medium,medium,1483.2,99.59,42145,,,
240,3089,12/3/2017,0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,41533,,,
241,3123,12/30/2017,0,Approved,Giant Bicycles,Road,low,small,590.26,525.33,40487,,,
242,2692,7/26/2017,0,Approved,Solex,Standard,medium,large,1071.23,380.74,36334,,,
243,2801,4/1/2017,1,Cancelled,Norco Bicycles,Road,medium,medium,544.05,376.84,38647,,,
244,1580,10/22/2017,1,Approved,Solex,Standard,medium,medium,1577.53,826.51,40618,,,
207,352,3/22/2017,0,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,42145,,,
245,1777,6/15/2017,1,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,41064,,,
246,142,7/6/2017,1,Approved,Giant Bicycles,Standard,high,medium,1179,707.4,35667,,,
235,3393,12/28/2017,0,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,40618,,,
247,599,5/9/2017,0,Approved,Solex,Standard,high,medium,1024.66,614.8,39880,,,
248,1258,1/18/2017,0,Approved,Solex,Standard,medium,medium,100.35,75.26,36367,,,
249,3405,10/22/2017,1,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,36668,,,
250,3198,1/30/2017,0,Approved,Solex,Standard,medium,medium,1577.53,826.51,34170,,,
251,834,6/26/2017,0,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,40303,,,
252,3467,11/7/2017,1,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672,,,
253,3436,8/13/2017,1,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,41922,,,
254,1516,8/27/2017,0,Approved,OHM Cycles,Standard,medium,medium,1636.9,44.71,40410,,,
255,2833,1/25/2017,1,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,41345,,,
256,2362,2/13/2017,0,Approved,Solex,Standard,medium,medium,71.49,53.62,38573,,,
257,2337,7/11/2017,0,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334,,,
258,2149,4/30/2017,1,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,38002,,,
259,2133,5/19/2017,0,Approved,Solex,Standard,medium,medium,1151.96,649.49,35470,,,
260,360,5/26/2017,1,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,41701,,,
261,2969,2/3/2017,1,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922,,,
262,1720,4/28/2017,0,Approved,Solex,Standard,medium,medium,575.27,431.45,34244,,,
263,2904,3/23/2017,0,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,36145,,,
264,754,6/3/2017,0,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,33549,,,
265,1826,4/25/2017,0,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688,,,
266,2487,4/8/2017,0,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,42458,,,
267,2815,2/18/2017,0,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750,,,
